World,Non-OECD,OECD,SaudiArabia,United States,OPEC,Non-OPEC
66828,47345.2,19482.8,8463,6467,39118,27710
66681,47228.2,19452.8,8414,6459,39201,27480
66494.9,46861.2,19633.7,8521,6531,39381.9,27113
67710.7,48261.3,19449.4,8765,6541,39574.7,28136
68083.7,48677.3,19406.4,8760,6476,39495.7,28588
67964.7,48677.3,19287.4,8460,6408,39392.7,28572
67829.6,48379.3,19450.3,8585,6483,39330.6,28499
67296.3,48352.2,18944.1,8625,6347,38865.3,28431
67017.6,48036.3,18981.3,8325,6267,39101.6,27916
66879.6,47780.3,19099.3,8275,6194,39088.6,27791
65905.5,47504.3,18401.2,8225,6203,38384.5,27521
65986.6,47604.3,18382.3,8173,5789,38380.6,27606
66101.6,47531.3,18570.3,8220,6143,38630.6,27471
66946.6,47928.3,19018.3,8170,6140,39205.6,27741
66771.7,47755.3,19016.4,8110,6043,39285.7,27486
66986.7,48147.8,18838.9,8065,5963,39382.7,27604
67312.6,48571.8,18740.8,8165,5966,39188.6,28124
66988.7,48480.8,18507.9,8220,5883,39113.7,27875
65545.7,47162.8,18382.9,7665,5887,38858.7,26687
65352.7,47047.8,18304.9,7665,5875,38730.7,26622
64307.9,46546.8,17761.1,7610,5760,38195.9,26112
65819,47293.8,18525.2,7610,5798,39167,26652
65706,47473.8,18232.2,7710,5780,38819,26887
65748,47515.8,18232.2,7735,5804,38836,26912
66254,47621.8,18632.2,7845,5947,39277,26977
66236,47129.8,19106.2,7865,5960,39794,26442
65428.2,46344.9,19083.3,7863,5959,39861.2,25567
66449.8939788898,47588.0338782473,18861.8601006425,7863,5784.3871,39701.0889656823,26748.8050132076
67065.6929233852,48232.1304234379,18833.5624999474,7865,5851.82759,39653.9063923815,27411.7865310038
67098.9418523623,48243.4894895706,18855.4523627917,7865,5918.19355,39753.888914263,27345.0529380993
67757.840998242,49239.6871014742,18518.1538967678,8100,5854.16667,39504.8920823497,28252.9489158923
68276.1863272534,49871.5059574894,18404.6803697639,8200,5846.51613,39491.3246358458,28784.8616914075
68074.385015219,49605.0408443491,18469.3441708699,8250,5822.86667,39698.7344701003,28375.6505451187
68695.1150607311,50017.4554458505,18677.6596148806,8390,5739.35484,40050.5327795425,28644.5822811886
69526.1337351867,51174.3398422421,18351.7938929446,8822.5,5788.74194,39911.0040307849,29615.1297044018
69542.8235889575,51314.4974981324,18228.3260908251,8975,5757.7,39955.060834635,29587.7627543226
69980.3352827799,51805.8037828315,18174.5314999484,8800,5809.03226,40118.1457682937,29862.1895144862
70536.2521830724,51879.6127248769,18656.6394581955,8900,5832.66667,40724.4837909695,29811.7683921029
69280.2115162518,50498.8085926499,18781.4029236018,8800,5855.09677,40899.6851629848,28380.526353267
69197.4521717218,50365.3411599754,18832.1110117464,8700,5798.93548,40622.107885301,28575.3442864208
68718.723162038,50146.3086522825,18572.4145097555,8320,5780.10714,40533.7190477481,28185.0041142899
69380.8485308017,50603.1571652986,18777.6913655031,8300,5880.32258,40525.8491768387,28854.999353963
68451.2263017181,49813.3198888932,18637.906412825,7950,5862.63333,40262.9212050824,28188.3050966357
67760.7557541365,49555.5623622636,18205.1933918729,8000,5829.41935,39817.0422192415,27943.7135348951
66206.9841627903,48239.6789510439,17967.3052117464,8050,5765.8,39758.0358312463,26448.948331544
68146.1337216191,49628.3843245697,18517.7493970494,8250,5748.64516,40475.8678700814,27670.2658515378
68319.8297563281,50113.5599013951,18206.269854933,8070,5725.41935,40147.3545330784,28172.4752232496
67852.7837175981,49290.8928128978,18561.8909047004,7800,5709,40481.4460916271,27371.337625971
67750.038797988,49179.5501554429,18570.4886425451,7670,5746.09677,40420.0151487209,27330.0236492671
68100.4131725556,49433.3798576788,18667.0333148769,7670,5881.36667,40860.6773504987,27239.7358220569
67692.7175591167,48453.6321059154,19239.0854532014,7600,5887.45161,41348.7143451064,26344.0032140103
66957.1604746985,47992.76401755,18964.3964571484,7300,5873.41935483871,41122.4474941972,25834.7129805013
67028.4933215245,48063.6435697975,18964.849751727,7210,5880.92857142857,41160.4212924298,25868.0720290947
66824.8450599916,48308.6139721468,18516.2310878448,7310,5885.8064516129,40753.1475281221,26071.6975318695
66288.4459997601,47285.5502883886,19002.8957113715,7455,5844.43333333333,41420.9956182259,24867.4503815342
66859.4829316531,48165.3202415997,18694.1626900534,7450,5905.06451612903,41145.9475965309,25713.5353351222
66705.9719154248,48097.2190633989,18608.7528520259,7500,5884.4,41273.9771294894,25431.9947859354
67186.7496723131,48669.0986557674,18517.6510165457,7700,5750.8064516129,41184.9826841771,26001.766988136
66914.7315145258,48746.9352985475,18167.7962159783,7730,5795.8064516129,41060.3583761509,25854.373138375
67465.2513584471,49605.4920856551,17859.759272792,7880,5411.2,40803.7932664841,26661.458091963
68876.2102237853,50555.8154763908,18320.3947473945,7900,5358.22580645161,41449.0416754595,27427.1685483258
69006.4102229094,50499.6750597137,18506.7351631957,8100,5623.53333333333,41506.6702768227,27499.7399460867
67352.8516746801,48604.9218906101,18747.92978407,8049.5,5721.67741935484,41681.8259705657,25671.0257041144
67750.1694219827,49066.8640982612,18683.3053237215,8498.57538670757,5755,41693.7103637276,26056.4590582551
69368.1316152096,50590.0860245238,18778.0455906858,8796.5883283851,5783,41989.0770121729,27379.0546030367
69883.6584064872,51178.6221754296,18705.0362310576,9381.70525214465,5803,41869.0228214213,28014.635585066
68809.9862937297,50487.57424635,18322.4120473797,9520.5465560876,5726,41619.565200094,27190.4210936357
68772.7781804388,50647.1889564036,18125.5892240352,9322.2018361691,5663,41490.9567877789,27281.8213926598
67977.1746860606,50036.1834812682,17940.9912047924,8627.99531645438,5659,41409.7994044507,26567.37528161
68603.7973446785,50277.4247667255,18326.372577953,8538.74019249106,5498,41915.2208551016,26688.5764895769
69058.9035217693,50987.2915164758,18071.6120052936,8538.74019249106,5574,41819.060500695,27239.8430210743
69660.747025097,51489.3101504515,18171.4368746454,8479.23677651551,5609,42031.5407128413,27629.2063122557
70623.5145565358,52297.6339480878,18325.8806084479,8578.40913647476,5614,42375.0220928634,28248.4924636723
70860.6640036287,52515.0355692499,18345.6284343788,8429.65059653589,5547,42632.374823019,28228.2891806097
72127.3201654836,53363.3718900276,18763.948275456,8588.32637247068,5571,43214.7181734772,28912.6019920065
71910.298,53499.606,18410.692,8700,5585,42714.924,29195.374
71885.392,53592.776,18292.616,8700,5572,42771.018,29114.374
71821.19,53464.267,18356.923,8400,5617,42798.816,29022.374
71774.387,53557.216,18217.171,8400,5560,42792.013,28982.374
71417.886,53411.715,18006.171,8500,5556,42589.512,28828.374
72973.607,54834.134,18139.473,9500,5407,42997.097,29976.51
73514.989,55438.903,18076.086,9500,5484,43118.479,30396.51
72484.561,55362.777,17121.784,9500,5325,42248.322,30236.239
73112.447,56043.06,17069.387,9500,5081,42356.208,30756.239
73727.115,56278.684,17448.431,9500,5170,42937.876,30789.239
73433.577,55636.933,17796.644,9500,5423,43150.338,30283.239
73093.329,55678.477,17414.852,9500,5510,42593.362,30499.967
73354.581,55930.424,17424.157,9500,5446,42633.384,30721.197
73664.995,56182.558,17482.437,9500,5501,42815.703,30849.292
73964.638,56454.39,17510.248,9500,5601,42911.957,31052.681
74282.019,56515.061,17766.958,9600,5563,43089.441,31192.578
74364.868,56512.266,17852.602,9600,5596,43285.202,31079.666
73968.482,56843.945,17124.537,9600,5442,42753.541,31214.941
73836.461,56976.459,16860.002,9600,5253,42364.247,31472.214
73832.036,57043.149,16788.887,9600,5198,42325.261,31506.775
73411.557,57572.575,15838.982,9600,4214,41571.036,31840.521
73470.403,57284.582,16185.821,9500,4555,42007.118,31463.285
74044.705,57274.147,16770.558,9500,4857,42627.261,31417.444
74242.989,57128.524,17114.465,9500,4988,42916.711,31326.278
