Date,Close,Symbol,PositionRisk,Position,PositionPrevious,BufferLow,BufferUp,RequiredTrade,PositionDynamic,PositionRaw,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,MinPosition,TickSize,Decimals,Spread,Commission,CostPerTrade,InstCapital,Exposure
2023-06-24,843.85,nok,101.38287350441742,-16,-16,-21.015899350104196,-6.768478710744357,0,-16.000000000000004,-13.892189030424277,71.23710319679918,-3.9002678118580425,-11.862529773864578,0,-6.785037086178961,-0.01256515409953973,0.08763548320905336,11.6708,0.01388888888888888,Cash,1,0.01,0.01,2,0.6,0,0.3,451.38888888888886,2575.377417684263
2023-06-25,1.58669,nokmxn,472.1182575586179,-51000,-51000,-57022.08224737776,-44019.219531087474,0,-51000.00000000004,-50520.65088923262,65014.313581451446,-15.541393304395704,-10.286655989056706,-16.612559088080314,-15.516120403624694,3.403890553660971e-4,0.10982480124384188,18.823999,0.01851851851851851,Cash,1,4000,1,1,0.00182,0,9.1e-4,601.8518518518518,2740.0543640209817
2023-06-24,32654.3,ny,57.436102763809345,1.6,1.6,1.744934805960309,3.0861998523342127,0,1.6000000000000003,2.415567329147261,6.706325231869518,7.203847847008979,-0.04333121128549553,0.14175946600746242,17.843253087834494,-0.02575991846277325,0.1722636285799385,156.699997,0.0074074074074074,Index,1,1,1,2,7,0,3.5,240.74074074074073,698.7567332851856
2023-06-24,962.58,nzd,117.16226276753544,3.3,3.3,1.2867175332102911,2.5581024468738764,0,3.299999999999998,1.9224099900420837,6.356924568317925,6.04823911116744,20,3.8397907856174545,5.320859295896784,-0.00111097855402064,0.06535902970027148,1.77202,0.00694444444444444,Cash,1,0.01,0.01,2,0.5,0,0.25,225.69444444444443,1726.5743194127235
2023-06-24,262.49,oj,630.3933983573764,880,880,658.4146877672611,1162.5090812139804,0,880.0000000000001,910.4618844906208,2520.471967233597,7.224534899230952,15.494594501682082,10.183998800202032,1.457690122404319,-0.00751483724760859,0.2990771169316689,1.09589,0.05555555555555555,Future,0.01,300,1,2,0.6,0,0.3,1805.5555555555552,3018.545139928035
2023-06-24,1082.37,ow,112.61458121304334,-8.8,-8.8,-7.622902032267355,-1.9792673562815075,0,-8.799999999999997,-4.801084694274431,28.218173379929233,-3.4028316642843386,20,-9.5900633985832,-1.519499912481847,-0.01239548704795545,0.13798657474939108,11.6708,0.01111111111111111,Index,1,1,1,2,0.9,0,0.45,361.1111111111111,1308.5008877383727
2023-06-24,1272.35,pa,255.84320509417728,-0.7,-0.7,-1.1341027331887643,-0.7388953987829454,0,-0.6999999999999995,-0.936499065985855,1.976036672029096,-9.478559575761413,-4.103088015252373,-2.1365015484723497,-20,2.515347563551984e-4,0.31480108239608146,1.09589,0.02222222222222222,Future,1,0.6,0.1,2,1.49,0,0.745,722.2222222222222,1147.1088611339733
2023-06-24,919.67,pl,409.2529291685496,-2.17,-2.17,-1.469709102919766,-0.7038149037475145,0,-2.1735240066672805,-1.0867620033336405,3.829470995861257,-5.675781352088423,13.783906578339112,-2.236239527559124,-14.840130615356928,-0.00411257517567875,0.22473308149979157,1.09589,0.02222222222222222,Future,1,0.7,0.1,2,1,0,0.5,722.2222222222222,1606.8444783526274
2023-06-25,2.6384,plnsek,601.8514806577282,30777.9,30777.9,17897.38010039292,24052.963896869616,0,30777.918982383508,20975.171998631267,30777.918982383504,13.630013134180334,19.49903072809794,7.360220122741079,20,0.00322685017009782,0.0867031134066599,11.69836,0.01851851851851851,Cash,1,500,1,1,2,0,1,601.8518518518518,3470.762630108863
2023-06-24,2.5466,rb,265.6996338720379,380,380,309.1053387831319,438.21938781519515,0,380,373.66236329916353,645.5702451603163,11.576195343587154,20,20,-1.059511641032118,-0.00867972763596891,0.3008940421739074,1.09589,0.01388888888888888,Future,1,250,1,4,0.0025,0,0.00125,451.38888888888886,750.0794725407027
