"Date","Price","Open","High","Low","Change %"
"Sep 10, 2017","3.170","2.820","3.190","2.820","12.81%"
"Sep 03, 2017","2.810","2.780","2.850","2.750","1.08%"
"Aug 27, 2017","2.780","2.830","2.850","2.710","0.36%"
"Aug 20, 2017","2.770","2.820","2.820","2.710","-1.77%"
"Aug 13, 2017","2.820","2.720","2.820","2.720","3.68%"
"Aug 06, 2017","2.720","2.700","2.780","2.700","0.74%"
"Jul 30, 2017","2.700","2.810","2.810","2.690","-4.59%"
"Jul 23, 2017","2.830","2.880","2.880","2.830","-1.74%"
"Jul 16, 2017","2.880","2.820","2.890","2.730","2.13%"
"Jul 09, 2017","2.820","2.790","2.850","2.670","6.42%"
"Jul 02, 2017","2.650","2.770","2.920","2.650","-4.33%"
"Jun 25, 2017","2.770","2.930","2.970","2.770","-5.46%"
"Jun 18, 2017","2.930","2.800","2.970","2.790","-0.34%"
"Jun 11, 2017","2.940","2.970","2.970","2.800","-1.34%"
"Jun 04, 2017","2.980","2.780","2.980","2.730","7.19%"
"May 28, 2017","2.780","3.030","3.030","2.780","-8.25%"
"May 21, 2017","3.030","3.030","3.030","2.960","0.00%"
"May 14, 2017","3.030","2.980","3.040","2.810","2.71%"
"May 07, 2017","2.950","3.020","3.080","2.900","-2.32%"
"Apr 30, 2017","3.020","3.030","3.030","2.960","3.42%"
"Apr 23, 2017","2.920","2.900","3.030","2.900","-3.95%"
"Apr 16, 2017","3.040","2.950","3.040","2.840","3.05%"
"Apr 09, 2017","2.950","3.260","3.260","2.920","-9.51%"
"Apr 02, 2017","3.260","3.010","3.260","3.010","8.31%"
"Mar 26, 2017","3.010","3.210","3.220","3.010","-6.23%"
"Mar 19, 2017","3.210","3.220","3.230","3.110","0.94%"
"Mar 12, 2017","3.180","3.290","3.290","3.180","-2.75%"
"Mar 05, 2017","3.270","3.340","3.360","3.270","-2.10%"
"Feb 26, 2017","3.340","3.270","3.340","3.230","2.14%"
"Feb 19, 2017","3.270","3.370","3.380","3.270","-2.68%"
"Feb 12, 2017","3.360","3.300","3.390","3.300","1.82%"
"Feb 05, 2017","3.300","3.300","3.430","3.290","0.00%"
"Jan 29, 2017","3.300","3.330","3.360","3.300","-1.49%"
"Jan 22, 2017","3.350","3.300","3.390","3.300","1.52%"
"Jan 15, 2017","3.300","3.320","3.380","3.300","-0.60%"
"Jan 08, 2017","3.320","3.390","3.390","3.300","-0.30%"
"Jan 01, 2017","3.330","3.550","3.550","3.330","-6.20%"
"Dec 25, 2016","3.550","3.600","3.600","3.450","0.57%"
"Dec 18, 2016","3.530","3.570","3.570","3.480","1.44%"
"Dec 11, 2016","3.480","3.540","3.540","3.410","-2.79%"
"Dec 04, 2016","3.580","3.720","3.720","3.560","-3.76%"
"Nov 27, 2016","3.720","3.800","3.800","3.630","-2.87%"
"Nov 20, 2016","3.830","3.850","3.850","3.750","0.00%"
"Nov 13, 2016","3.830","3.810","3.830","3.760","7.58%"
"Nov 06, 2016","3.560","3.500","3.770","3.440","2.01%"
"Oct 30, 2016","3.490","3.630","3.630","3.490","-2.79%"
"Oct 23, 2016","3.590","3.550","3.590","3.520","1.13%"
"Oct 16, 2016","3.550","3.480","3.550","3.470","1.43%"
"Oct 09, 2016","3.500","3.480","3.500","3.470","-0.57%"
"Oct 02, 2016","3.520","3.600","3.630","3.520","-3.56%"
"Sep 25, 2016","3.650","3.650","3.720","3.590","0.00%"
"Sep 18, 2016","3.650","3.690","3.690","3.640","-0.27%"
"Sep 11, 2016","3.660","3.700","3.700","3.660","0.27%"
"Sep 04, 2016","3.650","3.630","3.650","3.520","-0.54%"
"Aug 28, 2016","3.670","3.580","3.680","3.580","2.51%"
"Aug 21, 2016","3.580","3.630","3.630","3.540","0.56%"
"Aug 14, 2016","3.560","3.530","3.610","3.530","0.85%"
"Aug 07, 2016","3.530","3.720","3.720","3.530","-5.36%"
"Jul 31, 2016","3.730","3.750","3.750","3.680","0.54%"
"Jul 24, 2016","3.710","3.790","3.800","3.710","-1.33%"
"Jul 17, 2016","3.760","3.750","3.810","3.740","0.00%"
