Date,SPGSCI
1987-01-08,162.270004
1987-01-09,162.820007
1987-01-12,164.199997
1987-01-13,163.320007
1987-01-14,164.690002
1987-01-15,164.020004
1987-01-16,163.869995
1987-01-19,162.160004
1987-01-20,163.509995
1987-01-21,163.380005
1987-01-22,164.600006
1987-01-23,164.399994
1987-01-26,164.710007
1987-01-27,163.789993
1987-01-28,163.979996
1987-01-29,164.520004
1987-01-30,165.550003
1987-02-02,164.479996
1987-02-03,163.690002
1987-02-04,163.080002
1987-02-05,164.160004
1987-02-06,162.899994
1987-02-09,162
1987-02-10,162.100006
1987-02-11,159.339996
1987-02-12,158.279999
1987-02-13,158
1987-02-17,157.649994
1987-02-18,156.160004
1987-02-19,156.270004
1987-02-20,159.199997
1987-02-23,156.190002
1987-02-24,154.860001
1987-02-25,152.889999
1987-02-26,154.429993
1987-02-27,154.380005
1987-03-02,154.139999
1987-03-03,157.419998
1987-03-04,158.25
1987-03-05,159.380005
1987-03-06,161.210007
1987-03-09,160.940002
1987-03-10,161.270004
1987-03-11,161.460007
1987-03-12,161.789993
1987-03-13,161.440002
1987-03-16,162.339996
1987-03-17,163.75
1987-03-18,162.199997
1987-03-19,163.619995
1987-03-20,163.289993
1987-03-23,163.380005
1987-03-24,165.619995
1987-03-25,164.179993
1987-03-26,164.110001
1987-03-27,164.419998
1987-03-30,164.470001
1987-03-31,164.630005
1987-04-01,165
1987-04-02,165.179993
1987-04-03,164.75
1987-04-06,164.789993
1987-04-07,165.550003
1987-04-08,164.369995
1987-04-09,164.630005
1987-04-10,162.160004
1987-04-13,162.009995
1987-04-14,162.220001
1987-04-15,164.339996
1987-04-16,164.899994
1987-04-20,165.089996
1987-04-21,166.559998
1987-04-22,166.009995
1987-04-23,168.520004
1987-04-24,169.610001
1987-04-27,169.580002
1987-04-28,170.009995
1987-04-29,168.660004
1987-04-30,170.179993
1987-05-01,170.649994
1987-05-04,172.419998
1987-05-05,172.869995
1987-05-06,174.639999
1987-05-07,173.240005
1987-05-08,173.889999
1987-05-11,176.240005
1987-05-12,173.220001
1987-05-13,171.270004
1987-05-14,172.350006
1987-05-15,173.550003
1987-05-18,171.949997
1987-05-19,172.929993
1987-05-20,170.940002
1987-05-21,172.820007
1987-05-22,173.399994
1987-05-26,173.690002
1987-05-27,173.740005
1987-05-28,172.699997
1987-05-29,172.380005
1987-06-01,172.990005
1987-06-02,173.789993
1987-06-03,174.369995
1987-06-04,174.820007
1987-06-05,174.949997
1987-06-08,174.839996
1987-06-09,174.270004
1987-06-10,173.669998
1987-06-11,173.529999
1987-06-12,174.179993
1987-06-15,176.169998
1987-06-16,175.839996
1987-06-17,175.199997
1987-06-18,175.830002
1987-06-19,175.789993
1987-06-22,172.589996
1987-06-23,173.5
1987-06-24,172.580002
1987-06-25,173.589996
1987-06-26,175.699997
1987-06-29,175.529999
1987-06-30,175.770004
1987-07-01,176.710007
1987-07-02,178.050003
1987-07-06,179.669998
1987-07-07,177.919998
1987-07-08,177.220001
1987-07-09,177.580002
1987-07-10,176.259995
1987-07-13,174.619995
1987-07-14,174.789993
1987-07-15,176.160004
1987-07-16,177.050003
1987-07-17,176.789993
1987-07-20,177.839996
1987-07-21,175.179993
1987-07-22,176.320007
1987-07-23,174.610001
1987-07-24,171.919998
1987-07-27,172.619995
1987-07-28,176.220001
1987-07-29,176.740005
1987-07-30,177.199997
1987-07-31,177.809998
1987-08-03,180.860001
1987-08-04,179.720001
1987-08-05,176.800003
1987-08-06,176.25
1987-08-07,175.869995
1987-08-10,175.440002
1987-08-11,176.679993
1987-08-12,177.309998
1987-08-13,176.009995
1987-08-14,175.320007
1987-08-17,172.75
1987-08-18,172.5
1987-08-19,172.039993
1987-08-20,170.300003
1987-08-21,169.669998
1987-08-24,168.779999
1987-08-25,168.839996
1987-08-26,173.479996
1987-08-27,174.020004
1987-08-28,172.240005
1987-08-31,173.809998
1987-09-01,173.559998
1987-09-02,174.119995
1987-09-03,173.630005
1987-09-04,173.309998
1987-09-08,171.949997
1987-09-09,174.240005
1987-09-10,175.149994
1987-09-11,173.509995
1987-09-14,173.679993
1987-09-15,173.789993
1987-09-16,173.559998
1987-09-17,172.369995
1987-09-18,173.440002
1987-09-21,174.949997
1987-09-22,173.759995
1987-09-23,175.610001
1987-09-24,175.490005
1987-09-25,175
1987-09-28,173.740005
1987-09-29,174.460007
1987-09-30,173.610001
1987-10-01,175.139999
1987-10-02,176.240005
1987-10-05,176.330002
1987-10-06,175.139999
1987-10-07,176.160004
1987-10-08,176.369995
1987-10-09,177.059998
1987-10-12,177.330002
1987-10-13,177.580002
1987-10-14,177.929993
1987-10-15,177.979996
1987-10-16,180.110001
1987-10-19,176.649994
1987-10-20,174.970001
1987-10-21,176.949997
1987-10-22,176.919998
1987-10-23,177.199997
1987-10-26,174.710007
1987-10-27,175.279999
1987-10-28,175.559998
1987-10-29,174.619995
1987-10-30,174.25
1987-11-02,171.649994
1987-11-03,171.110001
1987-11-04,169.630005
1987-11-05,169.970001
1987-11-06,170.130005
1987-11-09,169.399994
1987-11-10,171.270004
1987-11-11,170.970001
1987-11-12,170.350006
1987-11-13,170.020004
1987-11-16,169.320007
1987-11-17,169.899994
1987-11-18,170.839996
1987-11-19,170.160004
1987-11-20,171.399994
1987-11-23,172.610001
1987-11-24,172.990005
1987-11-25,173.139999
1987-11-27,173.539993
1987-11-30,171.639999
1987-12-01,171.470001
1987-12-02,171.759995
1987-12-03,171.789993
1987-12-04,170.360001
1987-12-07,168.580002
1987-12-08,167.229996
1987-12-09,168.600006
1987-12-10,169.149994
1987-12-11,168.240005
1987-12-14,165.089996
1987-12-15,161.380005
1987-12-16,158.580002
1987-12-17,159.630005
1987-12-18,158.320007
1987-12-21,158.460007
1987-12-22,162.339996
1987-12-23,163.339996
1987-12-24,163.320007
1987-12-28,162.929993
1987-12-29,165.039993
1987-12-30,164.899994
1987-12-31,164.330002
1988-01-04,169.740005
1988-01-05,171.029999
1988-01-06,171.720001
1988-01-07,171.339996
1988-01-08,171.210007
1988-01-11,168.179993
1988-01-12,166.429993
1988-01-13,165.949997
1988-01-14,168.889999
1988-01-15,168.710007
1988-01-18,171.029999
1988-01-19,171.639999
1988-01-20,170.850006
1988-01-21,169.850006
1988-01-22,169.699997
1988-01-25,169.779999
1988-01-26,169.779999
1988-01-27,168.100006
1988-01-28,167.690002
1988-01-29,166.630005
1988-02-01,166.300003
1988-02-02,166.970001
1988-02-03,169.059998
1988-02-04,169.979996
1988-02-05,170.660004
1988-02-08,172.160004
1988-02-09,171.639999
1988-02-10,169.860001
1988-02-11,169.479996
1988-02-12,168.050003
1988-02-16,168.369995
1988-02-17,168.490005
1988-02-18,165.860001
1988-02-19,167.589996
1988-02-22,166.779999
1988-02-23,166.309998
1988-02-24,166
1988-02-25,163.729996
1988-02-26,163.130005
1988-02-29,163.789993
1988-03-01,162.509995
1988-03-02,162.399994
1988-03-03,160.210007
1988-03-04,160.860001
1988-03-07,161.110001
1988-03-08,161.490005
1988-03-09,161.309998
1988-03-10,163.020004
1988-03-11,164.449997
1988-03-14,162.710007
1988-03-15,162.759995
1988-03-16,164.270004
1988-03-17,165.479996
1988-03-18,166.429993
1988-03-21,166.419998
1988-03-22,168.300003
1988-03-23,170.350006
1988-03-24,170.839996
1988-03-25,171.809998
1988-03-28,171.970001
1988-03-29,171.839996
1988-03-30,172.320007
1988-03-31,171.199997
1988-04-04,170.820007
1988-04-05,169.779999
1988-04-06,169.910004
1988-04-07,171
1988-04-08,171.360001
1988-04-11,175.759995
1988-04-12,176.100006
1988-04-13,175.050003
