Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
06/03/2013,150.6,150.6,150.6,150.6,0.96,+0.64%,0,0
05/31/2013,149.64,149.64,149.64,149.64,-1.21,-0.80%,0,0
05/30/2013,150.85,150.85,150.85,150.85,1.01,+0.67%,0,0
05/29/2013,149.84,149.84,149.84,149.84,-0.81,-0.54%,0,0
05/28/2013,150.65,150.65,150.65,150.65,-0.71,-0.47%,0,0
05/24/2013,151.36,151.36,151.36,151.36,-1.,-0.66%,0,0
05/23/2013,152.36,152.36,152.36,152.36,-3.57,-2.29%,0,0
05/22/2013,155.93,155.93,155.93,155.93,-1.33,-0.85%,0,0
05/21/2013,157.26,157.26,157.26,157.26,-1.73,-1.09%,0,0
05/20/2013,158.99,158.99,158.99,158.99,-1.2,-0.75%,0,0
05/17/2013,160.19,160.19,160.19,160.19,-1.43,-0.88%,0,0
05/16/2013,161.62,161.62,161.62,161.62,-3.01,-1.83%,0,0
05/15/2013,164.63,164.63,164.63,164.63,-1.84,-1.11%,0,0
05/14/2013,166.47,166.47,166.47,166.47,1.39,+0.84%,0,0
05/13/2013,165.08,165.08,165.08,165.08,-2.27,-1.36%,0,0
05/10/2013,167.35,167.35,167.35,167.35,1.71,+1.03%,0,0
05/09/2013,165.64,165.64,165.64,165.64,0.53,+0.32%,0,0
05/08/2013,165.11,165.11,165.11,165.11,1.35,+0.82%,0,0
05/07/2013,163.76,163.76,163.76,163.76,1.9,+1.17%,0,0
05/06/2013,161.86,161.86,161.86,161.86,0,0.00%,0,0
05/03/2013,161.86,161.86,161.86,161.86,4.03,+2.55%,0,0
05/02/2013,157.83,157.83,157.83,157.83,-0.25,-0.16%,0,0
05/01/2013,158.08,158.08,158.08,158.08,0.93,+0.59%,0,0
04/30/2013,157.15,157.15,157.15,157.15,-0.81,-0.51%,0,0
04/29/2013,157.96,157.96,157.96,157.96,-2.64,-1.64%,0,0
04/26/2013,160.6,160.6,160.6,160.6,-1.07,-0.66%,0,0
04/25/2013,161.67,161.67,161.67,161.67,0.88,+0.55%,0,0
04/24/2013,160.79,160.79,160.79,160.79,-5.24,-3.16%,0,0
04/23/2013,166.03,166.03,166.03,166.03,0.03,+0.02%,0,0
04/22/2013,166,166,166,166,2.52,+1.54%,0,0
04/19/2013,163.48,163.48,163.48,163.48,3.44,+2.15%,0,0
04/18/2013,160.04,160.04,160.04,160.04,0.09,+0.06%,0,0
04/17/2013,159.95,159.95,159.95,159.95,0.87,+0.55%,0,0
04/16/2013,159.08,159.08,159.08,159.08,-1.34,-0.84%,0,0
04/15/2013,160.42,160.42,160.42,160.42,-1.52,-0.94%,0,0
04/12/2013,161.94,161.94,161.94,161.94,0.96,+0.60%,0,0
04/11/2013,160.98,160.98,160.98,160.98,0.08,+0.05%,0,0
04/10/2013,160.9,160.9,160.9,160.9,-0.8,-0.49%,0,0
04/09/2013,161.7,161.7,161.7,161.7,-2.96,-1.80%,0,0
04/08/2013,164.66,164.66,164.66,164.66,-0.26,-0.16%,0,0
04/05/2013,164.92,164.92,164.92,164.92,0.08,+0.05%,0,0
04/04/2013,164.84,164.84,164.84,164.84,2.93,+1.81%,0,0
04/03/2013,161.91,161.91,161.91,161.91,-3.52,-2.13%,0,0
04/02/2013,165.43,165.43,165.43,165.43,4.39,+2.73%,0,0
04/01/2013,161.04,161.04,161.04,161.04,0,0.00%,0,0
03/28/2013,161.04,161.04,161.04,161.04,-0.89,-0.55%,0,0
03/27/2013,161.93,161.93,161.93,161.93,2.48,+1.56%,0,0
03/26/2013,159.45,159.45,159.45,159.45,0.39,+0.25%,0,0
03/25/2013,159.06,159.06,159.06,159.06,1.18,+0.75%,0,0
03/22/2013,157.88,157.88,157.88,157.88,0.48,+0.30%,0,0
03/21/2013,157.4,157.4,157.4,157.4,0.24,+0.15%,0,0
03/20/2013,157.16,157.16,157.16,157.16,-0.39,-0.25%,0,0
03/19/2013,157.55,157.55,157.55,157.55,-3.16,-1.97%,0,0
03/18/2013,160.71,160.71,160.71,160.71,-1.49,-0.92%,0,0
03/15/2013,162.2,162.2,162.2,162.2,-0.87,-0.53%,0,0
03/14/2013,163.07,163.07,163.07,163.07,-1.87,-1.13%,0,0
03/13/2013,164.94,164.94,164.94,164.94,-1.21,-0.73%,0,0
03/12/2013,166.15,166.15,166.15,166.15,0.35,+0.21%,0,0
03/11/2013,165.8,165.8,165.8,165.8,2.73,+1.67%,0,0
03/08/2013,163.07,163.07,163.07,163.07,1.94,+1.20%,0,0
03/07/2013,161.13,161.13,161.13,161.13,0.46,+0.29%,0,0
03/06/2013,160.67,160.67,160.67,160.67,-6.11,-3.66%,0,0
03/05/2013,166.78,166.78,166.78,166.78,4.04,+2.48%,0,0
03/04/2013,162.74,162.74,162.74,162.74,-0.15,-0.09%,0,0
03/01/2013,162.89,162.89,162.89,162.89,0.06,+0.04%,0,0
02/28/2013,162.83,162.83,162.83,162.83,0.82,+0.51%,0,0
02/27/2013,162.01,162.01,162.01,162.01,-0.87,-0.53%,0,0
02/26/2013,162.88,162.88,162.88,162.88,0,0.00%,0,0
02/25/2013,162.88,162.88,162.88,162.88,2.11,+1.31%,0,0
02/22/2013,160.77,160.77,160.77,160.77,-0.07,-0.04%,0,0
02/21/2013,160.84,160.84,160.84,160.84,3.05,+1.93%,0,0
02/20/2013,157.79,157.79,157.79,157.79,-1.74,-1.09%,0,0
02/19/2013,159.53,159.53,159.53,159.53,0.41,+0.26%,0,0
02/15/2013,159.12,159.12,159.12,159.12,-0.96,-0.60%,0,0
02/14/2013,160.08,160.08,160.08,160.08,-1.08,-0.67%,0,0
02/13/2013,161.16,161.16,161.16,161.16,0.53,+0.33%,0,0
02/12/2013,160.63,160.63,160.63,160.63,-0.46,-0.29%,0,0
02/11/2013,161.09,161.09,161.09,161.09,-0.4,-0.25%,0,0
02/08/2013,161.49,161.49,161.49,161.49,-0.68,-0.42%,0,0
02/07/2013,162.17,162.17,162.17,162.17,-2.09,-1.27%,0,0
02/06/2013,164.26,164.26,164.26,164.26,-0.35,-0.21%,0,0
02/05/2013,164.61,164.61,164.61,164.61,-3.15,-1.88%,0,0
02/04/2013,167.76,167.76,167.76,167.76,1.32,+0.79%,0,0
02/01/2013,166.44,166.44,166.44,166.44,-0.45,-0.27%,0,0
01/31/2013,166.89,166.89,166.89,166.89,-1.78,-1.06%,0,0
01/30/2013,168.67,168.67,168.67,168.67,1.23,+0.73%,0,0
01/29/2013,167.44,167.44,167.44,167.44,0.53,+0.32%,0,0
01/28/2013,166.91,166.91,166.91,166.91,0.63,+0.38%,0,0
01/25/2013,166.28,166.28,166.28,166.28,-3.33,-1.96%,0,0
01/24/2013,169.61,169.61,169.61,169.61,1.75,+1.04%,0,0
01/23/2013,167.86,167.86,167.86,167.86,-5.91,-3.40%,0,0
01/22/2013,173.77,173.77,173.77,173.77,0.12,+0.07%,0,0
01/18/2013,173.65,173.65,173.65,173.65,1.56,+0.91%,0,0
01/17/2013,172.09,172.09,172.09,172.09,-0.08,-0.05%,0,0
01/16/2013,172.17,172.17,172.17,172.17,-0.66,-0.38%,0,0
01/15/2013,172.83,172.83,172.83,172.83,1.51,+0.88%,0,0
01/14/2013,171.32,171.32,171.32,171.32,2.99,+1.78%,0,0
01/11/2013,168.33,168.33,168.33,168.33,0.47,+0.28%,0,0
01/10/2013,167.86,167.86,167.86,167.86,0.29,+0.17%,0,0
01/09/2013,167.57,167.57,167.57,167.57,0.01,+0.01%,0,0
01/08/2013,167.56,167.56,167.56,167.56,1.35,+0.81%,0,0
01/07/2013,166.21,166.21,166.21,166.21,0.42,+0.25%,0,0
01/04/2013,165.79,165.79,165.79,165.79,-2.42,-1.44%,0,0
01/03/2013,168.21,168.21,168.21,168.21,4.2,+2.56%,0,0
01/02/2013,164.01,164.01,164.01,164.01,2.99,+1.86%,0,0
12/31/2012,161.02,161.02,161.02,161.02,0,0.00%,0,0
12/28/2012,161.02,161.02,161.02,161.02,0,0.00%,0,0
12/27/2012,161.02,161.02,161.02,161.02,0,0.00%,0,0
12/26/2012,161.02,161.02,161.02,161.02,0,0.00%,0,0
12/24/2012,161.02,161.02,161.02,161.02,0,0.00%,0,0
12/21/2012,161.02,161.02,161.02,161.02,-2.05,-1.26%,0,0
12/20/2012,163.07,163.07,163.07,163.07,1.59,+0.98%,0,0
12/19/2012,161.48,161.48,161.48,161.48,-0.94,-0.58%,0,0
12/18/2012,162.42,162.42,162.42,162.42,2.04,+1.27%,0,0
12/17/2012,160.38,160.38,160.38,160.38,-0.66,-0.41%,0,0
12/14/2012,161.04,161.04,161.04,161.04,-2.92,-1.78%,0,0
12/13/2012,163.96,163.96,163.96,163.96,-2.55,-1.53%,0,0
12/12/2012,166.51,166.51,166.51,166.51,2.46,+1.50%,0,0
12/11/2012,164.05,164.05,164.05,164.05,-4.74,-2.81%,0,0
12/10/2012,168.79,168.79,168.79,168.79,1.73,+1.04%,0,0
12/07/2012,167.06,167.06,167.06,167.06,2.62,+1.59%,0,0
12/06/2012,164.44,164.44,164.44,164.44,-0.01,-0.01%,0,0
12/05/2012,164.45,164.45,164.45,164.45,-2.22,-1.33%,0,0
12/04/2012,166.67,166.67,166.67,166.67,-1.91,-1.13%,0,0
12/03/2012,168.58,168.58,168.58,168.58,-3.83,-2.22%,0,0
11/30/2012,172.41,172.41,172.41,172.41,1.44,+0.84%,0,0
11/29/2012,170.97,170.97,170.97,170.97,4.58,+2.75%,0,0
11/28/2012,166.39,166.39,166.39,166.39,0.35,+0.21%,0,0
11/27/2012,166.04,166.04,166.04,166.04,-1.23,-0.74%,0,0
11/26/2012,167.27,167.27,167.27,167.27,-2.49,-1.47%,0,0
11/23/2012,169.76,169.76,169.76,169.76,0.79,+0.47%,0,0
11/21/2012,168.97,168.97,168.97,168.97,-4.47,-2.58%,0,0
11/20/2012,173.44,173.44,173.44,173.44,4.32,+2.55%,0,0
11/19/2012,169.12,169.12,169.12,169.12,-0.75,-0.44%,0,0
11/16/2012,169.87,169.87,169.87,169.87,1.09,+0.65%,0,0
11/15/2012,168.78,168.78,168.78,168.78,0.92,+0.55%,0,0
11/14/2012,167.86,167.86,167.86,167.86,-6.12,-3.52%,0,0
11/13/2012,173.98,173.98,173.98,173.98,2.38,+1.39%,0,0
11/12/2012,171.6,171.6,171.6,171.6,-0.37,-0.22%,0,0
11/09/2012,171.97,171.97,171.97,171.97,0.27,+0.16%,0,0
11/08/2012,171.7,171.7,171.7,171.7,2.78,+1.65%,0,0
11/07/2012,168.92,168.92,168.92,168.92,-0.42,-0.25%,0,0
