Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/24/2023,3363,3363,3363,3363,40,+1.20%,0,0
08/23/2023,3323,3323,3323,3323,-6.,-0.18%,0,0
08/22/2023,3329,3329,3329,3329,-26.,-0.77%,0,0
08/21/2023,3355,3355,3355,3355,-11.,-0.33%,0,0
08/18/2023,3366,3366,3366,3366,-47.,-1.38%,0,0
08/17/2023,3413,3413,3413,3413,41,+1.22%,0,0
08/16/2023,3372,3372,3372,3372,32,+0.96%,0,0
08/15/2023,3340,3340,3340,3340,19,+0.57%,0,0
08/14/2023,3321,3321,3321,3321,24,+0.73%,0,0
08/11/2023,3297,3297,3297,3297,15,+0.46%,0,0
08/10/2023,3282,3282,3282,3282,-37.,-1.11%,0,0
08/09/2023,3319,3319,3319,3319,-14.,-0.42%,0,0
08/08/2023,3333,3333,3333,3333,-143.,-4.11%,0,0
08/07/2023,3476,3476,3476,3476,-34.,-0.97%,0,0
08/04/2023,3510,3510,3510,3510,19,+0.54%,0,0
08/03/2023,3491,3491,3491,3491,-71.,-1.99%,0,0
08/02/2023,3562,3562,3562,3562,19,+0.54%,0,0
08/01/2023,3543,3543,3543,3543,-5.,-0.14%,0,0
07/31/2023,3548,3548,3548,3548,23,+0.65%,0,0
07/28/2023,3525,3525,3525,3525,-4.,-0.11%,0,0
07/27/2023,3529,3529,3529,3529,-23.,-0.65%,0,0
07/26/2023,3552,3552,3552,3552,82,+2.36%,0,0
07/25/2023,3470,3470,3470,3470,53,+1.55%,0,0
07/24/2023,3417,3417,3417,3417,2,+0.06%,0,0
07/21/2023,3415,3415,3415,3415,27,+0.80%,0,0
07/20/2023,3388,3388,3388,3388,-45.,-1.31%,0,0
07/19/2023,3433,3433,3433,3433,26,+0.76%,0,0
07/18/2023,3407,3407,3407,3407,48,+1.43%,0,0
07/17/2023,3359,3359,3359,3359,7,+0.21%,0,0
07/14/2023,3352,3352,3352,3352,85,+2.60%,0,0
07/13/2023,3267,3267,3267,3267,-72.,-2.16%,0,0
07/12/2023,3339,3339,3339,3339,7,+0.21%,0,0
07/11/2023,3332,3332,3332,3332,-3.,-0.09%,0,0
